,,Depth (cm),,,,,,,,,,,
,Taxa,0.48,0.72,0.88,0.96,1.18,1.34,1.66,1.82,1.98,2.22,2.38,2.54
High order,NCBI,439,946,290,137,843,4435,1819,432,117,1166,894,1846
,cellular organisms,3428,6407,1242,1107,4924,23962,9205,2873,577,4218,2974,7279
Bacteria,Bacteria,10939,20068,2890,3335,12948,58853,7226,7062,1458,10738,6678,17667
,Acidobacteria,27,45,15,9,5,46,16,10,2,10,4,10
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,0,4,0,0,0,0,1,1,0,0,0,2
,Acidobacteriaceae,7,28,15,11,9,27,15,11,0,19,6,7
,Acidobacterium,3,1,1,6,0,0,2,1,0,0,0,0
,Acidobacterium capsulatum,42,98,6,14,22,112,34,13,7,11,0,10
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacterium sp.,0,0,0,0,0,6,0,0,0,0,0,0
,Candidatus Koribacter,0,0,0,0,0,0,0,0,5,0,0,0
,Candidatus Koribacter versatilis,62,102,5,12,18,145,41,13,0,5,0,39
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,0,5,0,0,0,0,0,0,0,0,0,0
,Granulicella,0,2,3,7,0,3,1,2,2,0,4,9
,Granulicella mallensis,48,63,5,16,8,77,26,17,0,0,5,0
,Granulicella tundricola,43,77,0,0,12,100,33,27,5,0,0,12
,Terriglobus,1,1,4,0,1,1,2,0,7,0,0,0
,Terriglobus roseus,58,98,13,12,17,141,25,15,0,0,0,9
,Terriglobus saanensis,31,49,0,8,11,60,20,15,0,0,0,5
,"environmental samples <bacteria,order Acidobacteriales>",0,0,0,0,0,1,0,0,0,0,0,0
,uncultured Acidobacteriales bacterium HF0200_23L05,0,0,0,0,0,5,0,0,0,0,0,0
,Bryobacterales,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,0,1,1,0,0,2,0,0,0,0,0,0
,Candidatus Solibacter,1,1,0,0,0,0,0,0,0,0,0,0
,Candidatus Solibacter usitatus,149,203,36,47,44,247,105,63,6,15,0,12
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,50,81,7,21,25,111,33,29,5,0,5,16
,"environmental samples <bacteria,phylum Acidobacteria>",5,18,4,6,4,10,0,5,0,5,1,3
,uncultured Acidobacteria bacterium,97,176,26,38,31,160,50,42,12,0,8,14
,uncultured Acidobacteria bacterium A12,5,7,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,0,0,0,0,0,5,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,1,12,6,3,0,5,0,3,0,0,2,0
,Aquificales,0,0,2,16,0,2,1,0,4,0,4,1
,Aquificaceae,4,12,6,9,13,4,8,10,0,7,3,2
,Aquifex,3,2,0,0,0,4,0,0,0,0,0,0
,Aquifex aeolicus,17,19,0,0,7,19,0,0,0,54,5,0
