,,Depth (cm),,,,,,,,,,,,,
,Taxa,0.60,0.82,0.98,1.14,1.22,1.30,1.54,1.78,1.94,2.18,2.19,2.26,2.42,2.58
High order,NCBI,441,872,838,260,615,244,117,539,660,1415,613,2,141,261
,cellular organisms,3131,6262,5876,2181,6221,1867,1073,4546,5403,5460,1042,4,1748,3244
Bacteria,Bacteria,9667,20464,18809,7382,20608,5829,3196,12001,14710,13244,2368,18,3414,5171
,Acidobacteria,18,50,29,16,45,11,9,20,23,30,14,0,13,20
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,1,2,1,2,3,0,0,4,2,4,1,0,1,0
,Acidobacteriaceae,17,31,36,7,37,7,2,17,18,12,11,0,24,37
,Acidobacterium,2,0,3,2,4,0,0,1,2,2,0,0,1,1
,Acidobacterium capsulatum,51,106,75,44,95,33,22,65,75,49,8,0,32,47
,Candidatus Koribacter,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Candidatus Koribacter versatilis,53,113,97,44,120,26,17,47,67,39,8,0,56,77
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,Granulicella,2,3,2,0,4,2,0,1,2,2,6,0,3,4
,Granulicella mallensis,31,64,67,28,76,22,8,45,59,35,0,0,19,25
,Granulicella tundricola,36,63,69,28,83,22,14,56,69,47,0,0,18,20
,Terriglobus,1,6,4,0,6,5,5,6,6,1,5,0,1,1
,Terriglobus roseus,39,92,96,25,94,9,14,44,68,49,0,0,29,28
,Terriglobus saanensis,16,28,50,13,60,10,0,24,25,26,0,0,8,16
,Bryobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,0,2,3,0,3,0,0,0,0,0,0,0,0,0
,Candidatus Solibacter,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,Candidatus Solibacter usitatus,135,270,261,100,277,55,47,152,139,99,16,0,59,63
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,50,94,96,29,93,25,15,49,44,32,6,0,14,13
,"environmental samples <bacteria,phylum Acidobacteria>",13,13,9,8,21,4,7,6,14,17,0,0,2,9
,uncultured Acidobacteria bacterium,94,192,192,77,200,39,19,80,102,108,16,0,30,41
,uncultured Acidobacteria bacterium A11,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,0,8,6,0,0,0,0,7,7,0,0,0,0,0
,unclassified Acidobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,0,3,0,1,1,2,0,1,4,7,6,0,0,2
,Aquificales,1,7,0,1,0,5,0,0,1,7,2,0,0,0
,Aquificaceae,8,2,13,6,12,12,10,8,12,18,11,0,7,5
,Aquifex,0,0,0,0,1,0,0,0,2,0,0,0,0,0
,Aquifex aeolicus,0,8,0,0,11,0,0,0,9,7,0,0,0,0
,Hydrogenobacter,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Hydrogenobacter thermophilus,0,0,0,0,0,6,0,12,11,7,0,0,0,5
,Hydrogenobaculum,0,12,0,0,14,0,0,0,5,0,0,0,0,0
,Thermocrinis,10,8,8,9,9,8,8,0,7,11,0,0,5,1
,Thermocrinis albus,0,5,0,0,5,0,0,7,6,8,0,0,7,5
,Thermocrinis minervae,0,0,5,0,0,5,0,13,10,13,0,0,0,5
