,,Depth (cm),,,,,,,,,,,,,,,,,
,Taxa,0.32,0.56,0.69,0.75,0.80,0.96,1.04,1.28,1.52,1.92,2.08,2.32,2.32,2.64,2.96,3.04,3.28,3.44
High order,NCBI,563,881,852,132,327,767,652,222,68,0,0,0,0,0,218,95,954,145
,cellular organisms,4307,6241,6752,1292,2615,11623,6123,1125,351,4,0,0,0,1,3435,437,5488,830
Bacteria ,Bacteria,14612,19695,20022,2868,8746,20823,11109,2519,595,0,0,0,3,0,7159,336,12229,1689
,Acidobacteria,55,51,25,4,20,169,7,5,7,0,0,0,0,0,39,0,3,9
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,5,3,3,0,1,1,1,0,0,0,0,0,0,0,3,0,2,0
,Acidobacteriaceae,33,35,24,21,43,143,10,9,5,0,0,0,0,0,52,0,3,4
,Acidobacterium,4,4,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
,Acidobacterium capsulatum,68,101,66,7,76,409,35,0,0,0,0,0,0,0,138,0,15,0
,Candidatus Koribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Candidatus Koribacter versatilis,88,120,80,15,141,359,36,0,0,0,0,0,0,0,152,0,31,0
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Granulicella,2,3,0,0,0,13,2,0,0,0,0,0,0,0,3,0,0,5
,Granulicella mallensis,49,68,66,0,45,146,15,0,0,0,0,0,0,0,51,0,12,0
,Granulicella tundricola,58,75,48,0,45,114,24,0,0,0,0,0,0,0,34,0,14,0
,Terriglobus,2,2,4,5,1,12,4,5,0,0,0,0,0,0,4,0,1,1
,Terriglobus roseus,70,82,87,12,75,163,47,0,0,0,0,0,0,0,58,0,30,5
,Terriglobus saanensis,43,45,49,0,32,65,16,0,0,0,0,0,0,0,26,0,17,0
,Bryobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Solibacter,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Solibacter usitatus,263,279,165,29,129,851,59,18,0,0,0,0,0,0,264,0,32,0
,"environmental samples <bacteria,family Solibacteraceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Solibacteraceae bacterium,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,55,83,75,11,25,72,24,0,0,0,0,0,0,0,29,0,28,0
,"environmental samples <bacteria,phylum Acidobacteria>",17,15,9,0,12,30,5,0,0,0,0,0,0,0,12,0,3,6
,uncultured Acidobacteria bacterium,189,190,107,14,54,248,45,0,0,0,0,0,0,0,80,0,13,0
,uncultured Acidobacteria bacterium A11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A12,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagaceae,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,Holophaga,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,2,1,0,3,0,11,3,0,0,0,0,0,0,0,3,0,2,5
,Aquificales,4,1,1,6,6,2,0,1,0,0,0,0,0,0,1,0,0,2
,Aquificaceae,13,3,8,5,8,5,9,5,0,0,0,0,0,0,13,0,3,5
,Aquifex,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquifex aeolicus,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
