Input,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper
All_VC32_048_Viridiplantae,0.090909091,0.020862525,0.384796165,0.333333333,0.121552258,0.65245285
All_VC32_072_Viridiplantae,0.31147541,0.209395083,0.436502585,0.270833333,0.176161875,0.392963696
All_VC32_088_Viridiplantae,0.428571429,0.15701277,0.755136784,0.3,0.084583908,0.685575167
All_VC32_096_Viridiplantae,0.333333333,0.067585986,0.80587955,0.333333333,0.039921518,0.912908377
All_VC32_118_Viridiplantae,0,0,0.841886117,0,0,0.841886117
All_VC32_134_Viridiplantae,0.191780822,0.118124099,0.297005338,0.236842105,0.13138721,0.391063538
All_VC32_166_Viridiplantae,0.1875,0.06810774,0.434317873,0.25,0.074854631,0.600093574
All_VC32_182_Viridiplantae,0.333333333,0.138579339,0.614261662,0.111111111,0.031214762,0.357525968
All_VC32_198_Viridiplantae,0.181818182,0.054860645,0.484137749,0.523809524,0.260442737,0.773983949
All_VC32_222_Viridiplantae,0.5,0.184051568,0.815948432,0.2,0.043271868,0.641234579
All_VC32_254_Viridiplantae,0,0,0.336267117,0.25,0.070000984,0.621901426
All_VC34_016_Viridiplantae,0.2,0.043271868,0.641234579,0.125,0.02130192,0.690435478
All_VC34_032_Viridiplantae,0.316017316,0.259499252,0.378659916,0.241706161,0.185732974,0.30838003
All_VC34_056_Viridiplantae,0.305084746,0.249865981,0.366656139,0.289156627,0.227749824,0.359587278
All_VC34_088_Viridiplantae,0.333333333,0.244516949,0.436111329,0.35483871,0.225220546,0.510756154
All_VC34_110_Viridiplantae,0.426229508,0.309912062,0.551528918,0.282051282,0.144709493,0.479959373
All_VC34_126_Viridiplantae,0.488095238,0.383855583,0.593401145,0.321428571,0.188119474,0.493367428
All_VC34_150_Viridiplantae,0.320175439,0.26303526,0.383379514,0.253521127,0.186629528,0.334846873
All_VC34_198_Viridiplantae,0.314606742,0.227520306,0.417391523,0.226666667,0.130767778,0.365117787
All_VC34_206_Viridiplantae,0.258064516,0.137456903,0.434049375,0.34375,0.133694712,0.646847058
All_VC34_230_Viridiplantae,0,0,0.975,0.75,0.102391198,0.968654941
All_VC34_246_Viridiplantae,0.136363636,0.049507645,0.335889138,0.111111111,0.032983652,0.339291018
All_VC34_260_Viridiplantae,0,0,0.195064323,0,0,0.161097615
All_VC40_066_Viridiplantae,0,0,0.841886117,0,0,0.841886117
All_VC40_082_Viridiplantae,0,0,0.975,0,0,0.841886117
All_VC40_098_Viridiplantae,0,0,0.975,0,0,0.602364636
All_VC40_114_Viridiplantae,0,0,0.975,0,0,0.841886117
All_VC40_122_Viridiplantae,0,0,0.975,0,0,0.841886117
All_VC40_130_Viridiplantae,0,0,0.841886117,0,0,0.841886117
All_VC40_154_Viridiplantae,0,0,0.841886117,0,0,0.602364636
All_VC40_178_Viridiplantae,0.166666667,0.050381073,0.454471056,0.052631579,0.012348527,0.248732763
All_VC40_194_Viridiplantae,0.117647059,0.035785083,0.347120439,0.166666667,0.044059414,0.502774496
All_VC40_218_Viridiplantae,0,0,0.308497108,0.176470588,0.045228102,0.533403454
All_VC40_219_Viridiplantae,0,0,0.841886117,0,0,0.841886117
All_VC40_226_Viridiplantae,NA,NA,NA,NA,NA,NA
All_VC40_242_Viridiplantae,0.298958333,0.284687603,0.313636518,0.263790279,0.248509664,0.279669382
All_VC40_258_Viridiplantae,0.5625,0.329247154,0.770167313,0.5,0.258926992,0.741073008
All_VC45_032_Viridiplantae,0,0,0.841886117,0,0,0.975
All_VC45_056_Viridiplantae,0,0,0.369416648,0.285714286,0.071486506,0.703809089
All_VC45_069_Viridiplantae,0.16,0.094345161,0.259571237,0.064516129,0.026595422,0.152795773
All_VC45_075_Viridiplantae,0.214285714,0.102983551,0.397246949,0.166666667,0.060524538,0.395784551
All_VC45_080_Viridiplantae,0,0,0.841886117,0,0,0.841886117
All_VC45_096_Viridiplantae,0.33072999,0.324564484,0.336955005,0.335627364,0.328677199,0.342650486
All_VC45_104_Viridiplantae,0.221164466,0.215322531,0.227120608,0.210506546,0.204872402,0.216255082
All_VC45_128_Viridiplantae,NA,NA,NA,NA,NA,NA
All_VC45_152_Viridiplantae,0,0,0.975,0.2,0.026773993,0.887687087
All_VC45_192_Viridiplantae,NA,NA,NA,NA,NA,NA
All_VC45_264_Viridiplantae,NA,NA,NA,NA,NA,NA
All_VC45_296_Viridiplantae,0.5,0.265861347,0.734138653,0.5,0.22352867,0.77647133
All_VC45_304_Viridiplantae,0,0,0.707598226,0,0,0.707598226
All_VC45_328_Viridiplantae,0,0,0.409616397,0,0,0.975
All_VC45_344_Viridiplantae,0,0,0.52182375,0.5,0.094299324,0.905700676
