VC32 - sample depths,,,,,,,,,,,,,
0.42,0.72,0.88,0.96,1.18,1.34,1.66,1.82,1.92,2.22,2.54,,,
k-2.5% 0.00854009183366041,k-2.5% 0.0278884638657399,k-2.5% 0.0281032510234991,k-2.5% 0.0244705318402421,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.0141980425050343,k-2.5% 0.0260670401585563,k-2.5% 0.0211808206483018,k-2.5% 0.027671675555286,k-2.5% 0.02560894636665,,,
k-50% 0.0131892958627356,k-50% 0.0316023417038683,k-50% 0.030777402781231,k-50% 0.0385917682400651,,,k-50% 0.0300337117205983,k-50% 0.0293430299213136,k-50% 0.0312782438265047,k-50% 0.0369905161607116,k-50% 0.0332912445062628,,,
k-97.5% 0.0181601208095455,k-97.5% 0.0357268672814301,k-97.5% 0.0336474408972475,k-97.5% 0.0583423636795852,,,k-97.5% 0.0495067881735752,k-97.5% 0.0328831830973923,k-97.5% 0.0448221055532062,k-97.5% 0.0475776130986864,k-97.5% 0.0420279633861689,,,
N-2.5% 0.0156361279854809,N-2.5% 0.0733704770526698,N-2.5% 0.0749498450890133,N-2.5% 0.030659514019492,,,N-2.5% 0.0428649901010765,N-2.5% 0.0902974189584724,N-2.5% 0.0543105688186107,N-2.5% 0.0426586620024168,N-2.5% 0.0584603073140983,,,
N-50% 0.0232768579718004,N-50% 0.0891999744297695,N-50% 0.0882394044259972,N-50% 0.0723098526714451,,,N-50% 0.12958444746201,N-50% 0.11553592629841,N-50% 0.103544069466286,N-50% 0.0770003632029275,N-50% 0.117497660310753,,,
N-97.5% 0.0345353546537258,N-97.5% 0.109246269218629,N-97.5% 0.104405630227074,N-97.5% 0.2088851915986,,,N-97.5% 0.937722774203915,N-97.5% 0.149286816692411,N-97.5% 0.215053739491208,N-97.5% 0.145071829176533,N-97.5% 0.251706354429982,,,
min-k 0.00853099018390248,min-k 0.0294188461092524,min-k 0.0229296131348566,min-k 0.0256966038426011,,,min-k 0.0229466873067775,min-k 0.0194355482411744,min-k 0.0197205509325913,min-k 0.0254059826091402,min-k 0.0249321888662504,,,
max-k 0.0469166244076839,max-k 0.041675279676292,max-k 0.0374388844762541,max-k 0.076770927803802,,,max-k 0.151453771647414,max-k 0.0348437468046481,max-k 0.0464305280356586,max-k 0.0698196354297817,max-k 0.0402172329668833,,,
min-N 0.0148827099797753,min-N 0.0774170561787441,min-N 0.0492794239443318,min-N 0.0286931950353099,,,min-N 0.0587127328253794,min-N 0.0478239958968719,min-N 0.042876344972462,min-N 0.0348856632926651,min-N 0.053042598230246,,,
max-N 0.934647651188517,max-N 0.181089514648092,max-N 0.145933014406942,max-N 1.13364279099141,,,max-N 16953.6207554611,max-N 0.189456184558121,max-N 0.364612781153078,max-N 6.73582363594696,max-N 0.251082693693695,,,
