Input,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper
VC32_048_S2_R1_001.fastq.gz.Viridiplantae.collapsed,0.108589951,0.086463252,0.135632333,0.117557252,0.094864291,0.144896136
VC32_072_S3_R1_001.fastq.gz.Viridiplantae.collapsed,0.165739023,0.156878662,0.175001702,0.17875,0.169783412,0.188088147
VC32_088_S4_R1_001.fastq.gz.Viridiplantae.collapsed,0.352848101,0.331658203,0.374641546,0.350053937,0.324527011,0.376482723
VC32_096_S5_R1_001.fastq.gz.Viridiplantae.collapsed,0.064516129,0.041345733,0.099698224,0.047101449,0.02836821,0.077649432
VC32_118_S6_R1_001.fastq.gz.Viridiplantae.collapsed,0.089005236,0.064478619,0.121841271,0.129032258,0.098931527,0.16675417
VC32_134_S7_R1_001.fastq.gz.Viridiplantae.collapsed,0.087904825,0.07467879,0.103247707,0.118236473,0.102521425,0.13602917
VC32_166_S8_R1_001.fastq.gz.Viridiplantae.collapsed,0.090643275,0.071396235,0.114529705,0.13006993,0.106014994,0.158697433
VC32_182_S10_R1_001.fastq.gz.Viridiplantae.collapsed,0.252923977,0.230610913,0.276640682,0.247009148,0.224375651,0.271150265
VC32_198_S11_R1_001.fastq.gz.Viridiplantae.collapsed,0.152542373,0.08292881,0.265740448,0.253968254,0.163556998,0.372976418
VC32_222_S12_R1_001.fastq.gz.Viridiplantae.collapsed,0.143548387,0.118177144,0.173375266,0.157738095,0.130352001,0.189703962
VC32_254_S14_R1_001.fastq.gz.Viridiplantae.collapsed,0.099116781,0.082274429,0.119013658,0.157738095,0.130352001,0.189703962
VC34_016_S16_R1_001.fastq.gz.Viridiplantae.collapsed,0.099116781,0.082274429,0.119013658,0.135444151,0.115277874,0.15855553
VC34_032_S17_R1_001.fastq.gz.Viridiplantae.collapsed,0.086206897,0.064016411,0.115294957,0.111363636,0.084659397,0.145306603
VC34_056_S18_R1_001.fastq.gz.Viridiplantae.collapsed,0.313909774,0.298044483,0.330228712,0.333229134,0.31487364,0.352112221
VC34_088_S19_R1_001.fastq.gz.Viridiplantae.collapsed,0.352716873,0.324390028,0.38213419,0.339920949,0.306256759,0.375309701
VC34_110_S20_R1_001.fastq.gz.Viridiplantae.collapsed,0.109929078,0.078640915,0.151871177,0.136029412,0.096905484,0.18797447
VC34_174_S23_R1_001.fastq.gz.Viridiplantae.collapsed,0.364195422,0.346952577,0.381799272,0.360354223,0.339053586,0.382227319
VC34_198_S24_R1_001.fastq.gz.Viridiplantae.collapsed,0.351351351,0.279069335,0.431302377,0.157738095,0.130352001,0.189703962
VC34_206_S25_R1_001.fastq.gz.Viridiplantae.collapsed,0.351351351,0.279069335,0.431302377,0.329268293,0.234600943,0.440561851
VC34_230_S26_R1_001.fastq.gz.Viridiplantae.collapsed,0.360714286,0.306697874,0.418564592,0.396078431,0.329057241,0.4673162
VC34_246_S27_R1_001.fastq.gz.Viridiplantae.collapsed,0.336551724,0.303101655,0.371750557,0.351851852,0.307145974,0.399358646
VC34_260_S28_R1_001.fastq.gz.Viridiplantae.collapsed,0.140625,0.111533599,0.175921364,0.200417537,0.165456348,0.240730091
VC40_066_S30_R1_001.fastq.gz.Viridiplantae.collapsed,0.100609756,0.072636226,0.137975728,0.162079511,0.125867369,0.206413265
VC40_082_S31_R1_001.fastq.gz.Viridiplantae.collapsed,0.061946903,0.030781986,0.122426916,0.098214286,0.056878894,0.165369425
VC40_098_S32_R1_001.fastq.gz.Viridiplantae.collapsed,0.044865404,0.033735771,0.059516613,0.083729781,0.068542205,0.101969499
VC40_114_S33_R1_001.fastq.gz.Viridiplantae.collapsed,0.05027933,0.026959339,0.092791171,0.076923077,0.048511426,0.120361159
VC40_122_S34_R1_001.fastq.gz.Viridiplantae.collapsed,0.052863436,0.030705302,0.090131381,0.108108108,0.077058092,0.149899269
VC40_130_S35_R1_001.fastq.gz.Viridiplantae.collapsed,0.066666667,0.046614477,0.094690915,0.09054326,0.068420255,0.119041547
VC40_154_S36_R1_001.fastq.gz.Viridiplantae.collapsed,0.088050314,0.053425122,0.142452117,0.15819209,0.112017941,0.219068672
VC40_178_S38_R1_001.fastq.gz.Viridiplantae.collapsed,0.086419753,0.057369661,0.128551155,0.125954198,0.090277855,0.173324666
VC40_194_S39_R1_001.fastq.gz.Viridiplantae.collapsed,0.095360825,0.079817363,0.113604382,0.115477145,0.099244113,0.134008382
VC40_218_S40_R1_001.fastq.gz.Viridiplantae.collapsed,0.090697674,0.073314555,0.111773788,0.123110151,0.10330927,0.146143446
VC40_219_S41_R1_001.fastq.gz.Viridiplantae.collapsed,0.119918699,0.094171105,0.151645054,0.122262774,0.095701138,0.155055826
VC40_226_S42_R1_001.fastq.gz.Viridiplantae.collapsed,0.159090909,0.080017957,0.294551601,0.241935484,0.136161908,0.39442402
VC40_242_S43_R1_001.fastq.gz.Viridiplantae.collapsed,1,0.158113883,0.987420883,0,0,0.975
VC40_258_S44_R1_001.fastq.gz.Viridiplantae.collapsed,0.306195693,0.301150955,0.311287948,0.309239372,0.303703903,0.314830885
VC45_032_S46_R1_001.fastq.gz.Viridiplantae.collapsed,0.5,0.094299324,0.905700676,0,0,0.841886117
VC45_056_S47_R1_001.fastq.gz.Viridiplantae.collapsed,0.059925094,0.037382781,0.095142662,0.066666667,0.041301024,0.106372436
VC45_069_S48_R1_001.fastq.gz.Viridiplantae.collapsed,0.07918552,0.057563718,0.108167961,0.113839286,0.086565891,0.148463626
VC45_075_S49_R1_001.fastq.gz.Viridiplantae.collapsed,0.098916968,0.084304639,0.115779611,0.121584699,0.105206063,0.140149567
VC45_080_S50_R1_001.fastq.gz.Viridiplantae.collapsed,0.138961039,0.11634504,0.165214343,0.18503937,0.156890685,0.217002924
VC45_096_S51_R1_001.fastq.gz.Viridiplantae.collapsed,0.083333333,0.061862338,0.111519654,0.074906367,0.057344885,0.097392516
