,,Depth (cm),,,,,,,,,,,,,
,Taxa,0.74,0.89,0.97,1.50,1.56,1.67,1.75,1.84,2.10,2.26,2.42,2.50,2.58,2.78
High Order,Cellular organisms,4514,5021,2638,978,1067,1265,4741,1884,4960,2723,3107,2321,2424,2434
Bacteria,Bacteria,16305,15885,9048,3503,3579,3408,16778,5700,16604,9384,11564,7364,7969,8186
,Acidobacteria,49,41,13,8,18,10,41,12,18,23,32,12,19,24
,Acidobacteria incertae sedis,0,0,1,0,0,0,0,0,0,0,1,0,0,0
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,4,0,2,0,2,0,2,0,4,2,1,0,1,1
,Acidobacteriaceae,32,29,14,4,10,3,43,13,24,13,41,16,19,26
,Acidobacterium,4,6,3,0,1,6,2,6,3,2,3,3,5,2
,Acidobacterium capsulatum,104,77,43,18,15,10,97,14,65,41,91,32,39,43
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Koribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Koribacter versatilis,120,81,50,14,15,19,112,25,65,56,58,34,54,64
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,0,6,0,0,0,0,6,0,0,0,0,0,0,0
,Granulicella,1,3,4,1,2,2,6,4,2,0,0,0,2,0
,Granulicella mallensis,76,58,36,14,15,0,86,10,49,41,53,35,30,46
,Granulicella tundricola,65,65,26,7,12,19,95,27,56,30,69,25,30,32
,Terriglobus,1,2,4,4,5,5,1,5,3,1,1,3,4,0
,Terriglobus roseus,78,81,37,14,15,11,101,18,66,52,61,28,37,52
,Terriglobus saanensis,28,37,18,0,5,0,62,9,25,22,43,7,14,17
,"environmental samples <bacteria,order Acidobacteriales>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriales bacterium HF0200_23L05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bryobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,0,2,0,0,0,0,1,0,0,0,2,0,1,0
,Candidatus Solibacter,0,3,0,0,0,0,0,0,0,0,1,1,0,1
,Candidatus Solibacter usitatus,282,255,135,62,57,48,338,72,191,137,332,82,154,156
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,92,86,34,18,18,19,137,10,34,37,108,27,39,47
,"environmental samples <bacteria,phylum Acidobacteria>",18,19,17,7,5,7,13,8,26,20,10,9,10,12
,uncultured Acidobacteria bacterium,259,268,156,50,25,25,356,34,127,116,224,50,92,164
,uncultured Acidobacteria bacterium A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,0,0,0,0,0,0,0,0,6,5,0,0,0,0
,uncultured Acidobacteria bacterium A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium cosmid p2H8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,0,0,0,0,0,6,10,0,0,0,0,0,0,0
,uncultured Lake Michigan sediment bacterium LMBA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
