,,Depth (cm),,,
,Taxa,1.20,1.50,1.80,1.96
High Order,Cellular organisms,4670,3382,4554,1894
Bacteria,Bacteria,15774,9927,12968,6267
,Acidobacteria,63,12,35,10
,Acidobacteria incertae sedis,0,0,0,0
,Acidobacteriia,0,0,0,0
,Acidobacteriales,7,0,5,1
,Acidobacteriaceae,60,7,20,5
,Acidobacterium,0,4,4,0
,Acidobacterium capsulatum,100,21,60,22
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0
,uncultured Acidobacterium sp.,10,0,0,0
,Candidatus Koribacter,0,0,0,0
,Candidatus Koribacter versatilis,144,34,72,36
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0
,uncultured Acidobacteriaceae bacterium,8,0,0,0
,Granulicella,2,0,4,1
,Granulicella mallensis,81,18,42,22
,Granulicella tundricola,65,17,43,19
,Terriglobus,4,1,2,2
,Terriglobus roseus,96,40,50,29
,Terriglobus saanensis,54,16,31,13
,"environmental samples <bacteria,order Acidobacteriales>",0,0,0,0
,uncultured Acidobacteriales bacterium HF0200_23L05,0,0,0,0
,Bryobacterales,0,0,0,0
,Solibacteraceae,0,1,2,0
,Candidatus Solibacter,1,0,2,1
,Candidatus Solibacter usitatus,308,84,194,95
,Blastocatellia,0,0,0,0
,Chloracidobacterium,0,1,0,0
,Chloracidobacterium thermophilum,83,32,66,7
,"environmental samples <bacteria,phylum Acidobacteria>",24,5,13,17
,uncultured Acidobacteria bacterium,244,82,187,83
,uncultured Acidobacteria bacterium A11,0,0,0,0
,uncultured Acidobacteria bacterium A12,5,0,0,0
,uncultured Acidobacteria bacterium A2,5,0,0,0
,uncultured Acidobacteria bacterium A3,0,0,0,0
,uncultured Acidobacteria bacterium cosmid p2H8,5,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,8,0,5,0
,uncultured Lake Michigan sediment bacterium LMBA8,0,0,0,0
,Holophagae,0,0,0,0
,Holophagales,0,0,0,0
,Holophagaceae,0,0,0,0
,Aquificae <phylum>,0,0,0,0
,Aquificae,3,3,5,1
,Aquificales,8,10,3,6
,Aquificaceae,12,6,10,12
,Aquifex,0,0,1,0
,Aquifex aeolicus,0,0,5,0
,Aquifex pyrophilus,0,0,0,0
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0
,uncultured Aquificaceae bacterium,0,0,0,0
,Hydrogenobacter,0,0,0,0
,Hydrogenobacter thermophilus,0,0,5,0
,Hydrogenobaculum,0,0,0,0
,unclassified Hydrogenobaculum,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,0,0
,Thermocrinis,0,0,10,0
,Thermocrinis albus,0,0,5,0
,Thermocrinis minervae,0,0,0,0
,Thermocrinis ruber,0,0,0,0
,Aquificales genera incertae sedis,0,0,0,0
,Thermosulfidibacter,0,0,0,0
,Thermosulfidibacter takaii,0,0,14,0
,Hydrogenothermaceae,8,4,1,7
,Persephonella,0,0,1,0
,Persephonella marina,0,0,14,0
,Sulfurihydrogenibium,5,0,7,0
,Sulfurihydrogenibium azorense,0,0,0,0
,unclassified Sulfurihydrogenibium,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,0,7,20,0
,Desulfurobacteriales,0,0,0,0
,Desulfurobacteriaceae,8,3,1,2
,Desulfurobacterium,0,0,0,0
,Desulfurobacterium thermolithotrophum,0,0,9,5
,Thermovibrio,0,0,0,0
,Thermovibrio ammonificans,0,5,8,0
,Bacteria incertae sedis,32,40,43,28
,Bacteria candidate phyla,0,0,0,0
,candidate division Kazan-3B-28,0,0,0,0
,candidate division Kazan bacterium GW2011_GWA1_50_15,0,5,6,0
,candidate division NC10,0,0,0,0
,Candidatus Methylomirabilis,0,0,0,0
,Candidatus Methylomirabilis oxyfera,387,88,245,41
,candidate division SR1,0,0,0,0
,candidate division SR1 bacterium RAAC1_SR1_1,0,0,0,0
,candidate division WWE3,0,0,0,0
,candidate division WWE3 bacterium CSP1-7,5,0,5,0
,candidate division WWE3 bacterium RAAC2_WWE3_1,0,0,0,0
,Candidatus Aminicenantes,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Aminicenantes>",0,0,0,0
,uncultured Aminicenantes bacterium,5,8,36,26
,Candidatus Atribacteria,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Atribacteria>",0,0,0,0
,uncultured Candidatus Atribacteria bacterium,0,64,291,5
,Candidatus Berkelbacteria,0,0,1,0
,Berkelbacteria bacterium GW2011_GWA2_35_9,0,0,0,0
,Berkelbacteria bacterium GW2011_GWE1_39_12,0,0,7,0
,Candidatus Bipolaricaulota,19,7,26,7
,Candidatus Acetothermum,0,0,0,0
,Candidatus Acetothermum autotrophicum,15,0,19,0
,"environmental samples <bacteria,phylum Candidatus Bipolaricaulota>",0,0,0,0
,uncultured Acetothermia bacterium,0,0,0,0
,Candidatus Calescamantes,0,0,0,0
,KB1 group,0,0,0,0
,"environmental samples <bacteria,clade KB1 group>",0,0,6,0
,uncultured KB1 group bacterium Medee_0002,0,0,36,0
,uncultured KB1 group bacterium Medee_0003,0,0,0,0
,Candidatus Dependentiae,0,0,0,0
,Candidatus Babeliae,0,0,0,0
,Candidatus Babeliales,0,0,0,0
,Candidatus Babeliaceae,0,0,0,0
,Candidatus Babela,0,0,0,0
,Candidatus Babela massiliensis,7,15,21,45
,unclassified Candidatus Dependentiae,0,0,0,0
,candidate division TM6 bacterium GW2011_GWF2_28_16,0,0,0,0
,Candidatus Dojkabacteria,0,0,0,0
,"environmental samples <bacteria,clade Candidatus Dojkabacteria>",0,0,0,0
,uncultured bacterium pTW2,0,0,0,0
,Candidatus Saccharibacteria,19,5,16,0
,Candidatus Saccharibacteria oral taxon TM7x,13,0,0,0
,Candidatus Saccharimonas,0,0,0,0
,Candidatus Saccharimonas aalborgensis,0,0,0,0
,unclassified Saccharibacteria,0,0,0,0
,Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17,0,0,0,0
,Candidatus Saccharibacteria bacterium oral taxon 488,21,0,0,0
,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,0,0,0,0
,Patescibacteria group,0,0,0,0
,Candidatus Gracilibacteria,0,0,0,0
,unclassified Candidatus Gracilibacteria,0,0,0,0
,Candidatus Gracilibacteria bacterium HOT-871,22,0,0,0
,Microgenomates group,0,0,0,0
,Candidatus Beckwithbacteria,0,0,0,0
,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,5,0,0,0
,Candidatus Microgenomates,0,0,0,0
,unclassified Microgenomates,11,0,8,0
,Candidatus Woesebacteria,0,0,0,0
,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,7,0,0,0
,unclassified Microgenomates group,0,0,0,0
,"environmental samples <bacteria,unclassified Microgenomates group>",0,0,0,0
,uncultured Microgenomates group bacterium,0,0,0,0
,Parcubacteria group,0,0,0,0
,Candidatus Campbellbacteria,0,0,0,0
,Candidatus Campbellbacteria bacterium GW2011_OD1_34_28,6,5,0,0
,Candidatus Parcubacteria,5,0,6,0
,unclassified Parcubacteria,0,14,10,6
,Candidatus Wolfebacteria,0,0,0,0
,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1,5,0,7,0
,Caldiserica/Cryosericota group,0,0,0,0
,Caldiserica,0,0,9,0
,Caldisericia,0,0,0,0
,Caldisericales,0,0,0,0
,Caldisericaceae,0,0,0,0
,Caldisericum,0,0,1,0
,Caldisericum exile,0,0,31,0
,"environmental samples <bacteria,phylum Caldiserica>",0,0,0,0
,uncultured Caldiserica bacterium,0,0,0,0
,Calditrichaeota,0,0,0,0
,Calditrichae,0,0,0,0
,Calditrichales,0,0,0,0
,Calditrichaceae,0,0,0,0
,Caldithrix,0,0,1,0
,Caldithrix abyssi,25,28,46,12
,Chrysiogenetes <phylum>,0,0,0,0
,Chrysiogenetes,0,0,0,0
,Chrysiogenales,0,0,0,0
,Chrysiogenaceae,0,0,0,0
,Desulfurispirillum,0,0,0,0
,Desulfurispirillum indicum,27,6,33,6
,Coprothermobacterota,0,0,0,0
,Coprothermobacteria,0,0,0,0
,Coprothermobacterales,0,0,0,0
,Coprothermobacteraceae,0,0,0,0
,Coprothermobacter,0,0,2,0
,Coprothermobacter proteolyticus,0,0,15,0
,Deferribacteres <phylum>,0,0,0,0
,Deferribacteres,2,1,3,0
,Deferribacterales,0,0,0,0
,Deferribacteraceae,17,17,17,13
,Calditerrivibrio,0,0,0,0
