,Depth (cm),,,,,,,,,,
,Taxa,0.97,1.06,1.19,1.36,1.45,1.5,1.57,1.67,1.87,1.94
High Order,Cellular organisms,2208,8680,3085,2891,3412,3811,1523,5539,4085,7052
Bacteria,Bacteria,8654,32932,11535,9788,12205,13577,4926,17674,13190,21832
,Acidobacteria,14,46,7,10,8,10,5,33,17,16
,Acidobacteria incertae sedis,0,0,0,0,0,0,0,0,0,0
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,0,3,0,1,0,3,0,2,0,0
,Acidobacteriaceae,13,67,9,9,8,14,8,22,14,14
,Acidobacterium,1,4,0,0,0,1,0,2,2,0
,Acidobacterium capsulatum,28,167,42,37,73,64,18,73,57,56
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacterium sp.,0,0,0,0,0,0,0,0,0,0
,Candidatus Koribacter,0,0,0,0,0,0,0,1,0,0
,Candidatus Koribacter versatilis,37,248,34,32,53,55,23,72,48,60
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,7,20,0,0,0,0,0,0,0,0
,Granulicella,3,8,0,0,2,5,0,1,1,3
,Granulicella mallensis,31,171,26,40,43,48,17,51,48,49
,Granulicella tundricola,21,110,24,38,45,51,14,45,32,44
,Terriglobus,0,1,1,5,2,1,0,2,0,2
,Terriglobus roseus,32,153,40,33,47,56,19,67,60,98
,Terriglobus saanensis,30,136,20,19,31,41,9,33,22,19
,"environmental samples <bacteria,order Acidobacteriales>",0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriales bacterium HF0200_23L05,0,0,0,0,0,0,0,0,0,0
,Bryobacterales,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,1,0,1,0,0,2,1,0,0,0
,Candidatus Solibacter,0,0,0,0,1,0,0,0,0,0
,Candidatus Solibacter usitatus,101,507,103,93,128,147,36,135,76,100
,Blastocatellia,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,38,131,33,25,60,60,15,49,21,51
,"environmental samples <bacteria,phylum Acidobacteria>",5,13,5,7,11,9,3,1,9,6
,uncultured Acidobacteria bacterium,47,187,55,83,48,90,28,411,437,576
,uncultured Acidobacteria bacterium A11,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A12,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,0,12,0,0,0,0,0,5,0,0
,uncultured Acidobacteria bacterium A3,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium cosmid p2H8,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,0,0,0,0,0,0,0,0,0,0
,uncultured Lake Michigan sediment bacterium LMBA8,0,0,0,0,0,0,0,0,0,0
,Holophagae,0,0,0,0,0,0,0,0,0,0
,Holophagales,0,0,0,0,0,0,0,0,0,0
,Holophagaceae,0,0,0,0,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0
,Aquificae,0,3,0,8,2,2,0,4,0,4
,Aquificales,6,5,7,3,1,5,3,3,1,7
,Aquificaceae,11,22,10,8,7,19,7,9,10,8
,Aquifex,0,1,5,0,0,0,0,10,3,3
,Aquifex aeolicus,0,6,0,0,0,0,0,0,0,0
,Aquifex pyrophilus,0,0,0,5,0,0,0,17,33,35
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0,0,0,0,0,0,0
,uncultured Aquificaceae bacterium,0,0,0,0,0,0,0,0,5,5
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,0,10,0,19,0,0,5,33,53,60
,Hydrogenobaculum,0,6,0,0,0,0,0,7,0,17
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,0,0,0,0,0,0,0,8
,Thermocrinis,0,6,0,0,6,11,5,8,5,7
,Thermocrinis albus,0,6,0,0,0,0,0,0,0,0
,Thermocrinis minervae,5,0,0,0,12,0,0,9,0,0
,Thermocrinis ruber,0,5,0,0,0,0,0,0,0,5
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,0,17,9,6,8,8,0,34,20,27
,Hydrogenothermaceae,5,2,0,4,6,3,4,5,0,2
,Persephonella,0,0,0,0,0,3,0,3,1,5
,Persephonella marina,0,7,0,11,0,6,0,20,27,47
,Sulfurihydrogenibium,0,5,5,3,8,5,2,3,3,1
,Sulfurihydrogenibium azorense,0,16,0,5,0,0,0,9,0,7
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,0,14,0,15,5,14,16,73,64,109
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,7,4,9,0,5,3,2,3,3,5
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0
,Desulfurobacterium thermolithotrophum,0,15,5,7,5,7,15,47,33,44
,Thermovibrio,0,0,0,0,0,0,0,0,0,0
,Thermovibrio ammonificans,16,33,5,9,5,12,0,8,9,18
,Bacteria incertae sedis,35,35,39,32,22,35,4,36,19,51
,Bacteria candidate phyla,0,0,0,0,0,0,0,0,0,0
,candidate division Kazan-3B-28,0,0,0,0,0,0,0,0,0,0
,candidate division Kazan bacterium GW2011_GWA1_50_15,0,0,0,0,0,0,0,5,0,0
