B100,,,
depth ,mean ,stand dev,0.05
21,56.6275395,11.41459969,2.989611551
28,71.28503337,8.756991483,2.036919398
34,52.97297297,11.87642153,3.227988826
60,55.05746367,10.04536967,2.654805262
117,56.91248304,11.05097269,2.894373567
146,59.63144654,10.00560384,2.553085673
164,51.83292623,11.80674586,3.240359668
180,48.88230664,10.64192194,3.010561764
252,56.46035806,11.52935335,3.01966682
266,51.19203747,12.61568561,3.462373064
300,51.26760563,11.50221191,3.156780371
333,55.24871795,13.03770233,3.445623396
353,49.88636364,11.67659252,3.269385828
365,57.00262812,10.67116101,2.770271511
,,,
B101,,,
depth ,mean ,stand dev,0.05
74,58.5262467,10.4852048,2.69842911
89,51.6907503,12.51978727,3.436053779
97,48.39298246,13.20341477,3.735198947
150,52.8907563,12.40715046,3.372239943
156,55.06666667,11.90475595,3.146206638
167,52.30057803,12.94075014,3.517271322
175,60.14460784,9.818058393,2.484265891
184,50.43090909,12.57798077,3.486374331
210,49.25877551,12.09493441,3.386519404
226,55.06705882,11.98247531,3.166746426
242,54.96209913,11.83098658,3.155528979
250,46.80017301,12.37141097,3.575101773
258,50.63521401,12.4431406,3.44899923
278,55.13257576,12.38401367,3.272865581
,,,
B113,,,
depth ,,,
60,45.29918699,10.41320178,3.042468693
76,55.3225,11.48207686,3.034500378
,,,
,,,
B116,,,
depth,mean ,stand dev,0.05
120,47.59698026,11.68317973,3.34010577
150,50.69604407,11.80627742,3.272473006
180,47.42533677,10.76994104,3.079019845
196,48.32490013,11.56326769,3.27120719
,,,
,,,
Boi1,mean ,stand dev,0.05
97,55.70044053,11.45974678,3.028598951
106,56.24429825,10.57925076,2.770824308
119,54.26829268,11.73541,3.130037049
136,57.59305211,11.19959805,2.907455653
145,56.86206897,10.5865601,2.772738706
150,56.16284404,10.355679,2.712268358
157,54.79344262,11.70891289,3.122969812
167,49.52806653,11.76116589,3.293065937
187,56.72019704,10.74202314,2.813456217
194,54.06106443,11.6961327,3.119561114
