,,Depth (cm),,,,,,,,,,,,,,,,,
,Taxa,0.06,0.12,0.24,0.30,0.36,0.42,0.48,0.55,0.79,0.86,1.07,1.14,1.35,1.42,1.70,1.77,1.98,2.05
High order,NCBI,6494,64,2173,3487,564,1875,4598,1202,340,3245,3640,1192,1300,2096,1415,2345,1411,5884
,cellular organisms,1922,161,16563,27670,4309,7875,8419,4303,2319,25163,17011,10630,6586,14537,10202,14698,9392,30976
Bacteria,Bacteria,3931,315,64989,106640,13852,26600,30253,13299,5176,87918,56214,37235,22413,46088,32231,45116,29767,93588
,Acidobacteria,3,6,260,388,24,69,61,44,14,190,157,74,40,107,68,117,81,259
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acidobacteriales,0,0,2,6,0,0,0,3,1,0,1,6,2,0,0,1,2,1
,Acidobacteriaceae,9,6,150,251,22,55,48,30,5,132,101,39,31,29,37,46,28,83
,Acidobacterium,1,0,0,4,1,0,0,2,0,0,0,4,3,5,3,5,4,3
,Acidobacterium capsulatum,6,0,443,770,56,147,170,47,15,477,274,173,123,190,158,216,138,349
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacterium sp.,0,0,27,72,0,10,5,0,0,23,24,0,0,0,0,0,0,8
,Candidatus Koribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Koribacter versatilis,13,0,655,1033,77,216,182,75,19,532,329,194,114,205,157,162,126,379
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteriaceae bacterium,0,0,17,30,0,10,0,0,0,23,18,0,0,9,0,6,5,34
,Granulicella,0,0,28,31,3,10,6,6,0,18,12,4,2,19,6,6,10,10
,Granulicella mallensis,6,0,334,541,51,121,123,26,9,369,224,166,105,166,127,134,103,320
,Granulicella tundricola,9,0,356,620,64,133,156,56,26,406,281,180,110,194,133,208,149,426
,Terriglobus,1,0,22,55,3,4,4,3,0,19,12,3,2,12,3,6,2,5
,Terriglobus roseus,7,0,362,579,88,128,153,75,12,552,431,262,96,225,140,187,130,404
,Terriglobus saanensis,0,0,163,251,33,70,59,34,7,232,145,81,30,78,79,100,47,187
,"environmental samples <bacteria,order Acidobacteriales>",0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,2,0,1
,uncultured Acidobacteriales bacterium HF0200_23L05,0,0,21,37,5,14,13,0,0,6,21,0,0,6,8,12,0,16
,Bryobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacteraceae,0,0,1,3,1,0,1,0,0,4,4,1,0,0,0,0,0,1
,Candidatus Solibacter,0,0,1,0,0,1,0,0,0,6,2,1,0,0,0,0,0,1
,Candidatus Solibacter usitatus,43,0,1291,2011,224,444,479,166,65,1417,751,474,266,414,391,432,259,924
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chloracidobacterium,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Chloracidobacterium thermophilum,10,0,413,693,62,118,144,74,14,353,230,140,60,155,152,198,98,315
