Input,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper,,,,,,,,
All_TYB_006,0,0,0,0,0,0,,,,,,,,
All_TYB_012,0,0,0,0,0,0,,,,,,,,
All_TYB_024,0,0,0,0.2,0.002048685,0.667473046,,,,,,,,
All_TYB_030,0,0,0,0,0,0,,,,,,,,
All_TYB_036,0.333333333,0.003236928,0.906896738,0,0,0,,,,,,,,
All_TYB_042,0,0,0,0,0,0,,,,,,,,
All_TYB_048,0,0,0,0,0,0,,,,,,,,
All_TYB_055,0,0,0,0,0,0,,,,,,,,
All_TYB_079,0,0,0,0,0,0,,,,,,,,
All_TYB_086,0.100719424,0.063376025,0.145465723,0.093023256,0.056835557,0.136926761,,,,,,,,
All_TYB_107,0,0,0,0.015873016,0.00040553,0.057815052,,,,,,,,
All_TYB_114,0,0,0,0,0,0,,,,,,,,
All_TYB_135,0,0,0,0,0,0,,,,,,,,
All_TYB_142,0,0,0,0,0,0,,,,,,,,
All_TYB_170,0,0,0,0.1,0.002829124,0.335966661,,,,,,,,
All_TYB_177,0,0,0,0.111111111,0.00400188,0.358320259,,,,,,,,
All_TYB_198,0,0,0,0.333333333,0.033555331,0.765276748,,,,,,,,
All_TYB_205,0.05,0.000272051,0.20949123,0,0,0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
