Input,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper,,,,,,,,
TYB_006_All_prePIA_plants,0.055737705,0.035231538,0.087461601,0.123239437,0.087424115,0.171274938,,,,,,,,
TYB_012_All_prePIA_plants,0.020833333,0.004981842,0.108541764,0.065217391,0.021126358,0.197656939,,,,,,,,
TYB_024_All_prePIA_plants,0.055709024,0.046838831,0.066169868,0.108225108,0.096223227,0.12154328,,,,,,,,
TYB_030_All_prePIA_plants,0.05502737,0.047930024,0.063122194,0.120603015,0.110329366,0.131704126,,,,,,,,
TYB_036_All_prePIA_plants,0.05483871,0.039567611,0.075670898,0.096541787,0.075883051,0.122178901,,,,,,,,
TYB_042_All_prePIA_plants,0.075797872,0.05900518,0.096964901,0.127968338,0.105672963,0.154226968,,,,,,,,
TYB_048_All_prePIA_plants,0.040252565,0.030776807,0.052546288,0.092395748,0.077192923,0.110281648,,,,,,,,
TYB_055_All_prePIA_plants,0.055958549,0.043176311,0.072311876,0.115345005,0.095919666,0.138162674,,,,,,,,
TYB_079_All_prePIA_plants,0.069414317,0.049675143,0.09637589,0.079800499,0.056113624,0.112521228,,,,,,,,
TYB_086_All_prePIA_plants,0.115550534,0.111137058,0.120117761,0.108401084,0.103141309,0.113898415,,,,,,,,
TYB_107_All_prePIA_plants,0.043908162,0.03900135,0.049409939,0.078484684,0.071785796,0.085759612,,,,,,,,
TYB_114_All_prePIA_plants,0.052059497,0.042611812,0.063499081,0.092153765,0.080321028,0.105554999,,,,,,,,
TYB_135_All_prePIA_plants,0.045278137,0.032785548,0.062331157,0.102094241,0.081986346,0.12653546,,,,,,,,
TYB_142_All_prePIA_plants,0.068315665,0.057282036,0.0813255,0.100787402,0.087970508,0.115262427,,,,,,,,
TYB_170_All_prePIA_plants,0.071275456,0.060477101,0.0838601,0.100158144,0.086846072,0.11528271,,,,,,,,
TYB_177_All_prePIA_plants,0.075975359,0.065040405,0.088602806,0.120808452,0.107344517,0.135727156,,,,,,,,
TYB_198_All_prePIA_plants,0.041171813,0.031563743,0.053601136,0.098591549,0.08284208,0.116999087,,,,,,,,
TYB_205_All_prePIA_plants,0.058302583,0.05151497,0.065935781,0.128167994,0.118126052,0.138939952,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
