,,values ,,
,,50,range (2.5),range (97.5)
6,0.1,49.06969027,3.640513601,3.640513601
12,0.2,51.73529412,28.12310946,28.12310946
24,0.3,55.18389325,3.552935544,3.552935544
30,0.4,52.16166394,3.635629,3.635629
36,0.5,49.14705882,3.649230412,3.649230412
42,0.6,50.80195804,3.64354311,3.64354311
48,0.7,49.31509762,3.625367005,3.625367005
55,0.8,48.418202,3.655020953,3.655020953
79,0.9,48.90024938,4.009572908,4.009572908
86,1,54.69726409,3.139651231,3.139651231
107,1.1,53.99583975,3.493313423,3.493313423
114,1.2,52.99552973,3.628372503,3.628372503
136,1.3,51.70573248,3.741548145,3.741548145
142,1.4,52.9220702,3.675245455,3.675245455
170,1.5,51.42475792,3.71406422,3.71406422
177,1.6,51.22948138,3.563546491,3.563546491
198,1.7,51.75430725,3.608647288,3.608647288
205,1.8,52.06496809,3.620861406,3.620861406
